citation,include,comment
Silverman & Cochrane (1971) ,1,behavioral intention and behavior
Smith & Dixon (1968) ,1,"IFFY, again: We WILL include this if conforming to a racial outgroup member is behavior"
Stephen & Stephen (1989) ,1,majority voluntary contact
Sutton (2014) ,1,forwarding email is consequential
Thomsen (2012) ,1,"contact is NOT voluntary, but self-disclosure IS consequential behavior"
Turner & West (2011) ,1,experiment 2 has affective and cognitive predictors of seating distance
Turner et al. (2014) ,1,friends are voluntary
Vance (1998) ,1,willingness to volunteer and nonverbal reactions to racist joke
"Vescio, Gervais, Heidenreich, & Snyder (2006) ",1,"yes, look for highlight under ""skills tests,"" which is basically opportunities given to black student to make money. Same with Final Task Assignment"
Wagner et al (2003) ,1,friends are voluntary
Warner & DeFleur (1969) ,1,"commitment to future behavior, with signature, and a way to keep ps accountable"
Webb (2011) ,1,"experiment 3 has lost e-mail task; not gunna include advice-taking, because it is an implicit and indirect measure"
Weitz (1972) ,1,"behavior in interaction, such as chair"
Abad-Merino et al. (2013) ,0,no behavior
Aberson (2007) ,0,no behavior
Aberson & Haag (2007) ,0,not voluntary contact
Acosta (2015) ,0,not voluntary contact
Adams (1992) ,0,"combined voluntary and involuntary contact, so not majority voluntary"
Aljeaid (1986) ,0,not specific on the kind of contact
Amodio & Devine (2006) ,0,"no explicit attitudes, only implicit"
Ash (2016) ,0,"not really behavior, and no attitudes"
"Ashburn-Nardo, Knowles, & Monteith (2003) ",0,behavior not consequential
"Ata, Bastian, & Lusher (2009) ",0,participants younger than 18
Bailey (1972) ,0,"averages across voluntary and involuntary contact, so not majority voluntary "
"Bastian, Lusher, & Ata (2012) ",0,participants younger than 18
Bazzy (2005) ,0,behavior is most likely not consequential
Beck (2015) ,0,"study 3 has behavior, but only studies 1 and 2 have attitudes"
Bennett-AbuAyyash (2011) ,0,behavior not consequential
Berger et al. (2016) ,0,behavior not consequential
Bevelander & Otterbeck (2010) ,0,knowing Muslim isn't necessarily voluntary
Beyer & Liebe (2015) ,0,not consequential behavior
Bilewicz et al. (2013) ,0,Jews not racial group in this context
Birtel & Crisp (2012) ,0,"no behavior in study 2, the one about racial group"
Blanton & Mitchell (2011) ,0,"Only IAT data, no explicit attitudes"
Blommaert et al. (2012) ,0,not consequential behavior
Blommaert et al. (2014) ,0,not consequential behavior
Borus et al. (1973) ,0,can't tell if pre-army contact is voluntary or not
Bowman & Griffin (2012) ,0,not necessarily voluntary contact
Brauer & Er-rafiy (2011) ,0,"the attitudes measure is a manipulation check, so we will not include it"
"Brauer, Er-rafiy, Kawakami, & Phills (2012) ",0,no behavior
Briscoe (2003) ,0,"socialization is a parent behavior, but no correlation with parents own racial attitude"
Brown (2009) ,0,"no behavior or attitude, really"
Brown (2012) ,0,no consequential behavior
Brown et al. (2003) ,0,"the PRIME was black or white, but the other person was not White or Black"
Burns (2014) ,0,"consequential behavior, but no racial attitude measure (only IMS)"
Burnstein & McRae (1962) ,0,rating an interaction partner is not consequential behavior towards them--no consequnces for that person beause of the rating
Buttelmann & Bohm (2014) ,0,"minimal group, not race"
Butz & Plant (2006) ,0,"clever behavior measures, but no racial attitude measures"
Butz & Plant (2009) ,0,not primary research
Capozza et al. (2013) ,0,"quality, not voluntary quantity, of contact"
"Carr, Dweck, & Pauker (2012) ",0,"chair thing is good, but beliefs about prejudice is NOT an attitude about the group"
Chen (2016) ,0,"quantity subscale of contact includes non-voluntary contact (workplace, enighborhod)"
Christ et al. (2014) ,0,"not measured at individual level; general contact, not necessarily voluntary contact"
Cocchiara (2007) ,0,not consequential behavior
"Conley, Rabinowitz, Matsick (2015) ",0,"not voluntary contact--also includes quality (i.e., is it equal)"
Cox (2015) ,0,"no explicit attitudes, only implicit"
Cox & Devine (2014) ,0,sexual orientation; a study from his 2015 dissertation
Cruse (2015) ,0,not voluntary contact
"Crystal, Killen, & Ruck (2008) ",0,not voluntary contact
Curseu et al. (2007) ,0,"IFFY, but not necessarily voluntary"
"de Tezanos-Pinto, Bratt, and Brown (2010) ",0,children
Debose (2000) ,0,attitudes aren't attitudesƒ it's contact
Deegan (2015) ,0,no measure of attitudes
Degner et al. (2007) ,0,imagined behavior
Dejaeghere & Hooghe (2012) ,0,"IFFY, Gunna say ethnocentrisim, even though it mentions immigrants, is not a racial attitude here. But close"
Devine (1986) ,0,no behavior
Dhont & Van Hiel (2012) ,0,"quality, not voluntary quantity, of contact"
Dhont et al. (2012) ,0,"IFFY, although the example of one of the items was voluntary (friends), they cited Dhont & Van Hiel (2009) as where they got their other items, who in turn cite Islam & Hewstone, which are not voluntary. I'm thus assuming majority are not voluntary."
"Dhont, Van Heil & Hewstone (2014) ",0,contact is quality and based on trips or suggestion from the researchers
Dixon et al. (2010),0,"not voluntary contact, also quality"
Dixon et al. (2015)  ,0,contact quality
Dovidio & Gaertner (2000) ,0,"""would"" indicates hypothetical behavior"
Duckitt & Bizumic (2013) ,0,"behaviors aren't toward the target group, but authority"
Edlund and Skowronski (2008) ,0,obviously fictitious scenarios
Effron & Knowles (2015) ,0,no behavior
Eliezer (2012) ,0,not about racial groups
Er-rafiy & Brauer (2013) ,0,participants younger than 18; high school students
Fechter (2003) ,0,"IFFY, they were real candidatesƒ but no description that these ratings were actually going to make a difference to administrators or the applicant"
Firat (2013) ,0,acquaintances aren't necessarily voluntary contact
Fisher (2011) ,0,not voluntary contact
Gaither (2011) ,0,no racial attitude
Gaither and Sommers (2013) ,0,"same data as Gaither (2011), no racial attitude"
Garcia (2005) ,0,not voluntary contact
Garcia et al. (2015) ,0,"not voluntary contact--family member inviting the person over, not the p"
Gaunt (2011) ,0,not voluntary contact
"Geschke, Mummendey, Kessler, & Funke (2010) ",0,majority of social contact was involuntary
Goldstein (1969) ,0,"no behavior or attitude, really"
Greenland & Brown (1999) ,0,"volition, but included in a general ""quality"" scale. Quantity seems to be influenced by environment (such as university)"
Habtegiorgis et al. (2014) ,0,not measured at the individual level
Hanges (2011) ,0,hypothetical behavior
Harkins & Becker (1979) ,0,"IFFY, but they are rating themselves as prejudiced or not prejudicedƒ Not specific about target group, AND it is more about how they assess themselves, NOT about their actual feelings"
Heitland & Bohner (2011) ,0,not voluntary contact
Hendricks & Bootzin (1976) ,0,no attitudes
Hopkins (2014) ,0,"contact is not specific to muslims, nor is it voluntary; resource allocation says ""imagine"""
Hsueh et al. (2015) ,0,no behavior
Hutchinson & Rosenthal (2011) ,0,not voluntary contact
Islam & Hewstone (1993) ,0,only 2/5 of the contact items for quantity were voluntary
Jackman (1976) ,0,no behavior
Jackson (1997) ,0,"no behavior, no voluntary contact"
Jeffries & Ransford (1969) ,0,majority of social contact was involuntary
Johnson (2005) ,0,not voluntary contact
Johnson & Marini (1998) ,0,under 18
Jones (2013) ,0,no behavior
"Kalabi, Nadler, & Dovidio (2012) ",0,no behavior
Kalmoe & Piston (2013) ,0,voting
"Kang, Dasgupta, Yogeeswaran, & Blasi (2010) ",0,no behavior
Katz (2012) ,0,no behavior
Kauff et al. (2013) ,0,no behavior
"Kelly, Ferson, & Holtzman (1958) ",0,no behavior
"Kiesner, Maass, Cadinu, & Vallese (2003) ",0,children
Kingsley (1989) ,0,contact not voluntary
Kinias (2007) ,0,no interracial behavior
Kouchaki (2011) ,0,no attitudes
"Kteily, Bruneau & Hodson (2016) ",0,ISIS manipulates race... But the fact that they are terrorists drowns out the race thing. Also the nuclear deal petition is too political
"Kteily, Sidanius, & Levin (2011) ",0,"IFFY, but averages all friendships together across racial group so we can't look at them individually"
Kubota et al. (2013) ,0,only implicit attitudes
Kunstman & Plant (2008) ,0,only implicit attitudes
Kuttnauer (2005) ,0,no behavior
Lackey (2012) ,0,no behavior
Leonard (2013) ,0,not voluntary contact
Lepiece et al. (2014) ,0,no attitudes or consequential behavior
"Levin, van Laar, & Sidanius (2003) ",0,attitudes and behavior not measured at the same time
Levine & Ambady (2013) ,0,not primary research
Lopez (1993) ,0,majority is NOT voluntary contact
Lopez-Rodriguez et al. (2016) ,0,not really voluntary contact--voluntary and involuntary is on the same scale
Lyons (2011) ,0,not voluntary contact
Mabe & Williams (1975) ,0,children
Machell (1992) ,0,"not attitude, but racial identity"
MacInnis (2009) ,0,no consequential behavior
Mann & Kawakami (2011) ,0,only implicit attitudes
Marshall (2002) ,0,hypothetical behavior
Masson & Verkuyten (1993) ,0,majority is NOT voluntary contact
Maxwell-Smith (2012) ,0,not racial groups
McConahay (1983) ,0,"""play the role"" -- hypothetical behavior"
Meiring et al. (2014) ,0,"IMS/EMS, not actual prejudice"
Michinov et al. (2005) ,0,"were asked to ""assume"" they were a manager --> not real targets"
Migacheva & Tropp (2012) ,0,participants younger than 18
"Monteiro, Franca, & Rodrigues (2009) ",0,no attitudes
Necomb et al (2015) ,0,no behavior
Neprash (1953) ,0,children participants
Neville (1992) ,0,no behavior
Newheiser & Dovidio (2012) ,0,contact isn't specific enough to be voluntary
Noel (2010) ,0,"no attitudes and behavior in same thing, just IMS/EMS"
Olaizola (2014) ,0,not voluntary contact
Ommundsen et al. (2013) ,0,can include incidental contact
Orth (1982) ,0,"person perception, not consequential behavior"
Owens (1998) ,0,"no atttiudes, just racial identification"
Pacilli et al. (2013) ,0,"made-up racial group, also not clear that people in charge of anything would be looking at their discrimination"
Pager & Quillian (2005) ,0,no measure of racial attitudes
Paolini et al. (2014) ,0,no racial attitude measure
Paquette (2005) ,0,no behavior
Parekh (2016) ,0,hypothetical behavior
Pasek et al. (2014) ,0,political attitudes
"Pereira, Vala, & Leyens (2009) ",0,"no indication that the likelihood means the participants were going to be held accountable: not dichotomous, no signature"
"Perry, Murphy, & Dovidio (2015) ",0,"IFFY, diversity efforts in general--blacks are the targets of the attitudes, but minorities and diversity in general is the target of the behavior"
Persson (2003) ,0,no behavior
Pettigrew 1995 ,0,intergroup friends included class and religion
Piston (2010) ,0,"voting, politics"
Pittman (2003) ,0,no behavior
Plant & Devine (2001) ,0,"only IMS/EMS, no behavior"
"Prestwich, Kenworthy, Wilson, & Kwan-Tat (2008) ",0,not voluntary contact
Raden (1980) ,0,"authoritarianism, NOT prejudice"
Reid & Foels (2010) ,0,not voluntary contact
Reizenstein (1997) ,0,"""play the role"" -- hypothetical behavior"
Rhee (1998) ,0,child participants
Rudman & Ashmore (2007) ,0,study 1 has outgroups in general as target; study 2 is not racial
Rudman & Lee (2002) ,0,no behavior
Sappington (1974) ,0,"""asked to pretend"" -- not consequential"
Schubert & Lambsdorff (2014) ,0,"no, because I don't think the ultimatum game had real consequences for participants--dollar numbers are obviously hypothetical"
Sharples (2013) ,0,contact majority Involuntary
Shelton et al. (2005) ,0,IAT only
Shelton et al. (2010) ,0,not voluntary contact
Shoham & Gavish (2016) ,0,no behavior
Siegel (2010) ,0,not meaningful behavior
Skinner (2015) ,0,"no explicit attitudes, behavior"
Smoak (2004) ,0,"no explicit in study 2, the one that has behavior"
Sohler (2000) ,0,no attitudes of clinicians
Springer (1996) ,0,not voluntary contact
Stanley et al. (2011) ,0,no explicit
Stepanikova et al. (2011) ,0,only implicit attitudes
Stodolska (2005) ,0,not primary research
Stoltzfus (1999) ,0,contact was more of a mission trip type thing
Swart et al. (2010) ,0,participants younger than 18; high school students
Swart et al. (2011) ,0,children
Tausch et al. (2007) ,0,not necessarily voluntary contact
Todd et al. (2011) ,0,"no explicit, despite cool behavioral DVs"
Towles-Schwen (2002) ,0,not voluntary contact
Towles-Schwen & Fazio (2005) ,0,"not voluntary contact, same as T-S (2002)"
Trawalter (2006) ,0,no attitudes
Trawalter et al. (2012) ,0,"most ""meaningful"" contact isn't necessarily voluntary (e.g., work, TAs, randomly-assigned roommates)"
Turner & Feddes (2011) ,0,"general outgroups, only 45% were racial or ethnic"
Tusicisny (2013) ,0,"hindus vs. muslims--I believe this is NOT racial, and more so religious (whereas Muslim in the US means Arab. Especially since this occurred in Mumbai)"
Vanman et al. (2004) ,0,not consequential behavior--no reason to believe what the people said actually influenced professors; this is more of person perception
Veen (2006) ,0,mock trial
Vezzali & Giovannini (2011) ,0,involuntary and quality of contact
"Vezzali, Giovannini, & Capozza (2010) ",0,mean age under 18
Vorauer (2012) ,0,no behavior
Vorauer & Kumhyr (2001) ,0,"IFFY, attitudes are general prejudice and ethnocentricism, not necessarily about target"
Vorauer & Sasaki (2010) ,0,"IFFY, VERY: attitudes toward ethnic minorities in MRS, but behavior toward a specific group"
Vorauer & Sasaki (2012) ,0,"IFFY, see judgment calls doc"
Vorauer & Turpie (2004) ,0,"IFFY, see judgment calls doc"
"Vorauer, Martens, & Sasaki (2009) ",0,"IFFY, see judgment calls doc"
Ward (2007) ,0,"prejudice was attitudes about blacks, contact could have been with any non-white person"
Weatherley (1961) ,0,"""fantasy aggression"""
Weaver (2007) ,0,involuntary and quality of contact
Yang (2012) ,0,no explicit
Zhao (2005) ,0,no attitudes
"Zhou, Dovidio, & Wang (2013) ",0,not racial groups
Ziegert & Hanges (2005) ,0,"""asked to play the role"""
Zogmaister et al. (2008) ,0,only implicit attitudes
